Index,Size
UnhealthyInheritance1,99
UnhealthyInheritance2,62
UnhealthyInheritance3,45
UnhealthyInheritance4,24
UnhealthyInheritance5,23
UnhealthyInheritance6,22
UnhealthyInheritance7,21
UnhealthyInheritance8,18
UnhealthyInheritance9,17
UnhealthyInheritance10,17
UnhealthyInheritance11,16
UnhealthyInheritance12,14
UnhealthyInheritance13,14
UnhealthyInheritance14,13
UnhealthyInheritance15,13
UnhealthyInheritance16,12
UnhealthyInheritance17,11
UnhealthyInheritance18,11
UnhealthyInheritance19,10
UnhealthyInheritance20,9
UnhealthyInheritance21,9
UnhealthyInheritance22,8
UnhealthyInheritance23,8
UnhealthyInheritance24,8
UnhealthyInheritance25,8
UnhealthyInheritance26,8
UnhealthyInheritance27,8
UnhealthyInheritance28,8
UnhealthyInheritance29,8
UnhealthyInheritance30,7
UnhealthyInheritance31,7
UnhealthyInheritance32,7
UnhealthyInheritance33,7
UnhealthyInheritance34,7
UnhealthyInheritance35,7
UnhealthyInheritance36,6
UnhealthyInheritance37,6
UnhealthyInheritance38,6
UnhealthyInheritance39,6
UnhealthyInheritance40,6
UnhealthyInheritance41,6
UnhealthyInheritance42,6
UnhealthyInheritance43,5
UnhealthyInheritance44,5
UnhealthyInheritance45,5
UnhealthyInheritance46,5
UnhealthyInheritance47,5
UnhealthyInheritance48,5
UnhealthyInheritance49,4
UnhealthyInheritance50,4
UnhealthyInheritance51,4
UnhealthyInheritance52,4
UnhealthyInheritance53,4
UnhealthyInheritance54,4
UnhealthyInheritance55,4
UnhealthyInheritance56,4
UnhealthyInheritance57,4
UnhealthyInheritance58,4
UnhealthyInheritance59,4
UnhealthyInheritance60,4
UnhealthyInheritance61,4
UnhealthyInheritance62,4
UnhealthyInheritance63,4
UnhealthyInheritance64,4
UnhealthyInheritance65,4
UnhealthyInheritance66,4
UnhealthyInheritance67,3
UnhealthyInheritance68,3
UnhealthyInheritance69,3
UnhealthyInheritance70,3
UnhealthyInheritance71,3
UnhealthyInheritance72,3
UnhealthyInheritance73,3
UnhealthyInheritance74,3
UnhealthyInheritance75,3
UnhealthyInheritance76,3
UnhealthyInheritance77,3
UnhealthyInheritance78,3
UnhealthyInheritance79,3
UnhealthyInheritance80,3
UnhealthyInheritance81,3
UnhealthyInheritance82,3
UnhealthyInheritance83,3
UnhealthyInheritance84,3
UnhealthyInheritance85,3
UnhealthyInheritance86,3
UnhealthyInheritance87,3
UnhealthyInheritance88,3
UnhealthyInheritance89,3
UnhealthyInheritance90,3
UnhealthyInheritance91,3
UnhealthyInheritance92,3
UnhealthyInheritance93,3
UnhealthyInheritance94,3
UnhealthyInheritance95,3
UnhealthyInheritance96,3
UnhealthyInheritance97,3
UnhealthyInheritance98,3
UnhealthyInheritance99,3
UnhealthyInheritance100,3
UnhealthyInheritance101,3
UnhealthyInheritance102,3
UnhealthyInheritance103,3
UnhealthyInheritance104,3
UnhealthyInheritance105,3
UnhealthyInheritance106,3
UnhealthyInheritance107,3
UnhealthyInheritance108,3
UnhealthyInheritance109,3
UnhealthyInheritance110,3
UnhealthyInheritance111,3
UnhealthyInheritance112,3
UnhealthyInheritance113,3
UnhealthyInheritance114,3
UnhealthyInheritance115,3
UnhealthyInheritance116,3
UnhealthyInheritance117,3
UnhealthyInheritance118,3
UnhealthyInheritance119,2
UnhealthyInheritance120,2
UnhealthyInheritance121,2
UnhealthyInheritance122,2
UnhealthyInheritance123,2
UnhealthyInheritance124,2
UnhealthyInheritance125,2
UnhealthyInheritance126,2
UnhealthyInheritance127,2

