IssueType,Issue Size,#Changes,Tot Loc changed
PackageCycle1,143.0,488.0,17455.0
PackageCycle2,97.0,459.0,15708.0
PackageCycle3,93.0,207.0,4581.0
PackageCycle4,89.0,213.0,5710.0
PackageCycle5,88.0,243.0,5516.0
PackageCycle6,82.0,167.0,4373.0
PackageCycle7,74.0,415.0,14689.0
PackageCycle8,44.0,188.0,4019.0
PackageCycle9,42.0,140.0,2652.0
PackageCycle10,14.0,44.0,909.0
PackageCycle11,11.0,45.0,1278.0
PackageCycle12,11.0,173.0,5166.0
PackageCycle13,11.0,40.0,874.0
PackageCycle14,10.0,140.0,4409.0
PackageCycle15,10.0,43.0,689.0
PackageCycle16,9.0,146.0,4659.0
PackageCycle17,9.0,40.0,586.0
PackageCycle18,6.0,37.0,1186.0
PackageCycle19,6.0,8.0,325.0
PackageCycle20,6.0,4.0,226.0
PackageCycle21,5.0,37.0,1391.0
PackageCycle22,5.0,6.0,653.0
PackageCycle23,4.0,3.0,80.0
PackageCycle24,3.0,36.0,1171.0
PackageCycle25,3.0,1.0,4.0

PackageCycle-All,271.0,980.0,30089.0
