"FileName","TargetChurn"
"pmd-cs.src.main.antlr4.net.sourceforge.pmd.lang.cs.antlr4.CSharpLexer_g4","1105"
"pmd-cs.src.main.java.net.sourceforge.pmd.cpd.CsTokenizer_java","375"
"pmd-dist.src.test.resources.sample-source.apex.TableGridController_cls","371"
"pmd-plsql.etc.grammar.PldocAST_jjt","314"
"pmd-core.src.test.java.net.sourceforge.pmd.cpd.token.internal.BaseTokenFilterTest_java","190"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleSetFactoryTest_java","146"
"docs.pages.release_notes_md","140"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTLambdaExpressionTest_kt","127"
"pmd-java.etc.grammar.Java_jjt","108"
"pmd-java.src.test.java.net.sourceforge.pmd.lang.java.ast.ASTFieldDeclarationTest_java","90"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.ExecutionResult_java","88"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTFieldDeclarationTest_kt","87"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.PMDExecutor_java","83"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTMethodDeclarationTest_kt","81"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.rule.multithreading.xml.UnsynchronizedStaticFormatter_xml","77"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.rule.multithreading.xml.UnsynchronizedStaticDateFormatter_xml","77"
"pmd-apex.src.test.resources.net.sourceforge.pmd.lang.apex.ast.SwitchStatements_cls","74"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.HTMLRenderer_java","64"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration_java","64"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTFormalParameter_java","63"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.AbstractRenderer_java","50"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ApexTreeBuilder_java","50"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTFieldDeclaration_java","48"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId_java","46"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTVariableDeclarator_java","46"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.StringLiterals_pls","45"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.TestExtensions_kt","45"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.ASTStringLiteral_java","43"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclarationTest_kt","43"
"pmd-java.src.main.resources.category.java.multithreading_xml","42"
"pmd-apex.src.test.java.net.sourceforge.pmd.lang.apex.ast.ASTSwitchStatementTest_java","42"
"pmd-java.src.test.java.net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclarationTest_java","42"
"pmd-core.src.main.java.net.sourceforge.pmd.RuleSetFactory_java","41"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.StringLiteralsTest_java","41"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.metrics.impl.visitors.AtfdBaseVisitor_java","39"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.rule.AbstractApexRule_java","36"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.metrics.impl.xml.AtfdTest_xml","34"
"pmd-java.src.test.java.net.sourceforge.pmd.lang.java.rule.JavaRuleViolationTest_java","33"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.HTMLRendererTest_java","33"
"pmd-java.src.test.resources.net.sourceforge.pmd.ast.FullTypeAnnotations_java","33"
"pmd-javascript.src.test.java.net.sourceforge.pmd.lang.ecmascript.ast.ASTForInLoopTest_java","33"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.MultipleDDLStatementsTest_java","31"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ApexParserVisitorAdapter_java","30"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.BinaryDistributionIT_java","30"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.ASTSimpleExpression_java","30"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.TriggerTest_java","28"
"pmd-swift.src.test.java.net.sourceforge.pmd.cpd.Issue628Test_java","28"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.JoinOperator_pls","28"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.rule.bestpractices.xml.MethodReturnsInternalArray_xml","27"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.JoinClauseTest_java","26"
"pmd-core.src.main.java.net.sourceforge.pmd.processor.AbstractPMDProcessor_java","26"
"pmd-cpp.src.test.java.net.sourceforge.pmd.cpd.CPPTokenizerTest_java","25"
"pmd-java.src.test.java.net.sourceforge.pmd.lang.java.PMD5RulesetTest_java","25"
"pmd-javascript.src.test.java.net.sourceforge.pmd.lang.ecmascript.ast.ASTVariableDeclarationTest_java","24"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.ast.NodeStream_java","23"
"pmd-cs.src.test.java.net.sourceforge.pmd.cpd.CsTokenizerTest_java","23"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.ast.xpath.Attribute_java","22"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.documentation.CommentRequiredRule_java","22"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleSetFactoryCompatibilityTest_java","22"
"pmd-core.src.test.resources.rulesets.dummy.basic_xml","21"
"pmd-core.src.main.java.net.sourceforge.pmd.RuleSetFactoryCompatibility_java","21"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTElseWhenBlock_java","21"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTIdentifierCase_java","21"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTTypeWhenBlock_java","21"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTSwitchStatement_java","21"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTValueWhenBlock_java","21"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTLiteralCase_java","21"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.WhereClauseParens_pls","20"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTArrayDimensions_java","20"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.CachedRuleMapper_java","19"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.CachedRuleViolation_java","19"
"pmd-core.src.test.java.net.sourceforge.pmd.ant.PMDTaskTest_java","19"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.multithreading.UnsynchronizedStaticFormatterRule_java","18"
"pmd-dist.src.test.resources.rulesets.all-apex_xml","18"
"pmd-dist.src.test.resources.rulesets.all-java_xml","18"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTArrayTypeDim_java","17"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.Dimensionable_java","17"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.rule.codestyle.xml.UnnecessaryLocalBeforeReturn_xml","17"
"pmd-core.src.main.java.net.sourceforge.pmd.ant.internal.PMDTaskImpl_java","16"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.bestpractices.ArrayIsStoredDirectlyRule_java","16"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTLambdaExpression_java","16"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.pmd5ruleset_xml","15"
"pmd-core.src.test.java.net.sourceforge.pmd.ReportTest_java","15"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.CSVRenderer_java","15"
"pmd-core.src.main.java.net.sourceforge.pmd.RuleContext_java","14"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTEnumConstantTest_kt","14"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleViolationTest_java","14"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.CodeClimateRendererTest_java","12"
"pmd-core.src.test.resources.net.sourceforge.pmd.ant.xml.pmdtasktest_xml","12"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTLambdaParameter_java","12"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.Renderer_java","12"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration_java","12"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ApexParserVisitor_java","12"
"pmd-cpp.src.test.resources.net.sourceforge.pmd.cpd.cpp.issue-1784_cpp","12"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleViolationComparatorTest_java","11"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.LeftOuterJoin_pls","11"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.TextColorRenderer_java","10"
"pmd-core.src.test.resources.rulesets.dummy.oldbasic_xml","10"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.typeresolution.typedefinition.JavaTypeDefinitionSimple_java","10"
"pmd-cs.pom_xml","10"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleSetTest_java","10"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTEnumConstant_java","9"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.XMLRenderer_java","9"
"pmd-core.src.test.java.net.sourceforge.pmd.AbstractRuleTest_java","9"
"pmd-javascript.src.main.java.net.sourceforge.pmd.lang.ecmascript.EcmascriptParserOptions_java","9"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.CodeClimateRenderer_java","8"
"pmd-java.src.test.java.net.sourceforge.pmd.typeresolution.ClassTypeResolverTest_java","8"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.TriggerUnit_pls","8"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.rule.ParametricRuleViolation_java","8"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver_java","8"
"pmd-javascript.src.test.java.net.sourceforge.pmd.lang.ecmascript.EcmascriptParserOptionsTest_java","8"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.DDLCommands_sql","7"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.metrics.JavaMetrics_java","7"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.ASTExtractExpressionTest_java","7"
"pmd-javascript.src.main.java.net.sourceforge.pmd.lang.ecmascript.ast.ASTForInLoop_java","7"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.VBHTMLRenderer_java","7"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.WhereClauseTest_java","7"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.metrics.ApexMetrics_java","7"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.SelectExpressions_pls","7"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.JavaRuleViolation_java","6"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.TextRenderer_java","6"
"pmd-core.src.main.java.net.sourceforge.pmd.SourceCodeProcessor_java","6"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.AbstractRendererTst_java","6"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.bestpractices.MethodReturnsInternalArrayRule_java","6"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexJorjeLogging_java","6"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.metrics.LanguageMetricsProvider_java","6"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleContextTest_java","6"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.ASTSelectStatement_java","6"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.performance.RedundantFieldInitializerRule_java","6"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.InnerJoinUsing_pls","5"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.AnalysisResult_java","5"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.AbstractJavaHandler_java","5"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.SummaryHTMLRendererTest_java","5"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.AbstractPLSQLNode_java","5"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexHandler_java","5"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.AllRulesIT_java","4"
"pmd-swift.src.test.resources.net.sourceforge.pmd.cpd.Issue628_swift","4"
"docs.pages.pmd.rules.java.multithreading_md","4"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.bestpractices.AbstractSunSecureRule_java","4"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.PapariTextRendererTest_java","4"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.CpdExecutor_java","4"
"docs.pages.pmd.userdocs.pmd_report_formats_md","4"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTArrayDimsAndInits_java","4"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.rule.AbstractRuleChainVisitor_java","4"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.performance.UseStringBufferForStringAppendsRule_java","4"
"pmd-core.src.main.java.net.sourceforge.pmd.RuleSet_java","4"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.SummaryHTMLRenderer_java","3"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.XMLRendererTest_java","3"
"pmd-java.src.test.java.net.sourceforge.pmd.ExcludeLinesTest_java","3"
"pmd-core.src.main.java.net.sourceforge.pmd.benchmark.Benchmarker_java","3"
"pmd-core.src.main.java.net.sourceforge.pmd.PMDConfiguration_java","3"
"pmd-java.src.test.java.net.sourceforge.pmd.lang.java.metrics.xpath.XPathMetricFunctionTest_java","3"
"pmd-core.src.test.java.net.sourceforge.pmd.junit.JavaUtilLoggingRule_java","3"
"pmd-java.src.test.java.net.sourceforge.pmd.lang.java.rule.XPathRuleTest_java","3"
"pmd-test.src.main.java.net.sourceforge.pmd.testframework.RuleTst_java","3"
"pmd-core.src.test.java.net.sourceforge.pmd.stat.StatisticalRuleTest_java","3"
"pmd-plsql.src.main.ant.alljavacc_xml","2"
"pmd-cpp.src.test.resources.net.sourceforge.pmd.cpd.cpp.issue-1559_cpp","2"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.EmacsRenderer_java","2"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.performance.StringToStringRule_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.AbstractLanguageVersionHandler_java","2"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.processor.PmdRunnable_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.cache.FileAnalysisCache_java","2"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.YAHTMLRendererTest_java","2"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryLocalBeforeReturnRule_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.TextPadRenderer_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.util.designer.Designer_java","2"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.AbstractRendererTest_java","2"
"pmd-core.src.test.resources.net.sourceforge.pmd.ant.src.sample_dummy","1"
"pmd-core.src.main.java.net.sourceforge.pmd.PMD_java","1"
"pmd-core.src.main.java.net.sourceforge.pmd.Report_java","1"
"pmd-dist.src.test.resources.sample-source.java.JumbledIncrementer_java","0"
"pmd-dist.src.test.resources.sample-source.JumbledIncrementer_java","0"
